placer,algorithm,superblue1,superblue3,superblue4,superblue5,superblue7,superblue10,superblue16,superblue18
mgo,SA,0.62$\pm$0.01,1.70$\pm$0.03,1.12$\pm$0.02,4.16$\pm$0.07,1.81$\pm$0.03,0.55$\pm$0.00,1.21$\pm$0.04,0.53$\pm$0.01
mgo,EA,0.59$\pm$0.00,1.55$\pm$0.01,0.95$\pm$0.01,3.84$\pm$0.03,1.72$\pm$0.02,0.54$\pm$0.00,0.95$\pm$0.01,0.49$\pm$0.00
mgo,BO,0.63$\pm$0.01 (n_seed=5),1.71$\pm$0.01 (n_seed=5),1.12$\pm$0.02 (n_seed=5),4.13$\pm$0.05 (n_seed=5),1.84$\pm$0.03 (n_seed=5),0.55$\pm$0.00 (n_seed=5),1.23$\pm$0.02 (n_seed=5),0.52$\pm$0.01 (n_seed=5)
mgo,ES,0.66$\pm$0.04 (n_seed=5),1.80$\pm$0.10 (n_seed=5),1.20$\pm$0.09 (n_seed=5),4.78$\pm$0.37 (n_seed=5),1.92$\pm$0.10 (n_seed=5),0.54$\pm$0.00 (n_seed=5),1.23$\pm$0.08 (n_seed=5),0.53$\pm$0.02 (n_seed=5)
mgo,PSO,0.58$\pm$0.00 (n_seed=5),1.52$\pm$0.00 (n_seed=5),0.94$\pm$0.01 (n_seed=5),3.76$\pm$0.00 (n_seed=5),1.69$\pm$0.02 (n_seed=5),0.54$\pm$0.00 (n_seed=5),0.96$\pm$0.01 (n_seed=5),0.48$\pm$0.00 (n_seed=5)
sp,SA,12.74$\pm$0.32,30.94$\pm$0.36,20.81$\pm$0.59,55.20$\pm$1.19,24.67$\pm$0.31,11.09$\pm$0.67,29.75$\pm$0.43,6.40$\pm$0.22
sp,EA,5.27$\pm$0.28,13.34$\pm$1.04,11.33$\pm$0.64,31.65$\pm$2.44,14.15$\pm$0.75,2.31$\pm$0.19,14.59$\pm$1.26,2.66$\pm$0.13
hpo,SA,2.29$\pm$0.12 (n_seed=5),4.86$\pm$0.17 (n_seed=5),2.38$\pm$0.08 (n_seed=5),10.45$\pm$0.23 (n_seed=5),3.44$\pm$0.09 (n_seed=5),1.88$\pm$0.03 (n_seed=5),3.76$\pm$0.24 (n_seed=5),1.56$\pm$0.15 (n_seed=5)
hpo,EA,2.07$\pm$0.14 (n_seed=5),4.29$\pm$0.19 (n_seed=5),2.35$\pm$0.10 (n_seed=5),9.98$\pm$0.13 (n_seed=5),3.19$\pm$0.03 (n_seed=5),1.59$\pm$0.05 (n_seed=5),3.40$\pm$0.12 (n_seed=5),1.43$\pm$0.09 (n_seed=5)
hpo,BO,2.60$\pm$0.07 (n_seed=5),5.93$\pm$0.29 (n_seed=5),2.66$\pm$0.13 (n_seed=5),11.77$\pm$0.24 (n_seed=5),3.93$\pm$0.09 (n_seed=5),2.74$\pm$0.34 (n_seed=5),4.51$\pm$0.49 (n_seed=5),2.01$\pm$0.10 (n_seed=5)
hpo,ES,2.22$\pm$0.09 (n_seed=5),4.83$\pm$0.24 (n_seed=5),2.32$\pm$0.11 (n_seed=5),10.37$\pm$0.38 (n_seed=5),3.34$\pm$0.07 (n_seed=5),1.69$\pm$0.10 (n_seed=5),3.90$\pm$0.31 (n_seed=5),1.54$\pm$0.15 (n_seed=5)
hpo,PSO,2.24$\pm$0.05 (n_seed=5),4.56$\pm$0.42 (n_seed=5),2.34$\pm$0.09 (n_seed=5),9.93$\pm$0.07 (n_seed=5),3.56$\pm$0.05 (n_seed=5),2.14$\pm$0.18 (n_seed=5),3.35$\pm$0.03 (n_seed=5),1.63$\pm$0.19 (n_seed=5)

mgo(GP eval),SA,62.39$\pm$0.85,72.63$\pm$0.65,44.58$\pm$0.66,81.21$\pm$1.69,84.52$\pm$0.98,94.07$\pm$0.61,50.39$\pm$0.55,28.75$\pm$0.49
mgo(GP eval),EA,55.35$\pm$1.24,62.62$\pm$1.24,40.24$\pm$0.65,72.15$\pm$1.16,75.79$\pm$1.47,88.69$\pm$1.35,46.71$\pm$0.77,26.96$\pm$0.15
mgo(GP eval),BO,61.49$\pm$1.09 (n_seed=5),72.65$\pm$0.99 (n_seed=5),44.32$\pm$0.23 (n_seed=5),81.64$\pm$0.90 (n_seed=5),85.94$\pm$0.33 (n_seed=5),92.12$\pm$1.52 (n_seed=5),50.81$\pm$0.19 (n_seed=5),29.06$\pm$0.44 (n_seed=5)
mgo(GP eval),ES,66.12$\pm$2.00 (n_seed=5),73.51$\pm$1.10 (n_seed=5),45.58$\pm$1.13 (n_seed=5),84.09$\pm$0.90 (n_seed=5),85.87$\pm$2.03 (n_seed=5),97.19$\pm$1.31 (n_seed=5),51.47$\pm$0.48 (n_seed=5),30.03$\pm$0.37 (n_seed=5)
mgo(GP eval),PSO,56.65$\pm$1.15 (n_seed=5),66.53$\pm$1.48 (n_seed=5),41.09$\pm$0.73 (n_seed=5),78.00$\pm$3.13 (n_seed=5),79.91$\pm$2.74 (n_seed=5),90.90$\pm$2.04 (n_seed=5),47.96$\pm$0.62 (n_seed=5),26.98$\pm$0.11 (n_seed=5)
sp(GP eval),SA,86.12$\pm$1.92,88.37$\pm$4.59,60.33$\pm$2.35,109.15$\pm$5.22,100.24$\pm$1.62,102.07$\pm$2.31,67.29$\pm$1.17,30.29$\pm$0.09
sp(GP eval),EA,82.03$\pm$1.82 (n_seed=5),82.14$\pm$4.01 (n_seed=5),56.52$\pm$2.81 (n_seed=5),100.47$\pm$4.81 (n_seed=5),96.41$\pm$1.99 (n_seed=5),98.26$\pm$2.60 (n_seed=5),65.61$\pm$1.45 (n_seed=5),29.60$\pm$0.52 (n_seed=5)
