placer,algorithm,superblue1,superblue3,superblue4,superblue5,superblue7,superblue10,superblue16,superblue18
grid_guide(GP eval),SA,62.39$\pm$0.85 -,72.63$\pm$0.65 -,44.58$\pm$0.66 -,81.21$\pm$1.69 -,84.52$\pm$0.98 -,94.07$\pm$0.61 -,50.39$\pm$0.55 -,28.75$\pm$0.49 -
grid_guide(GP eval),EA,55.35$\pm$1.24 -,62.62$\pm$1.24 -,40.24$\pm$0.65 -,72.15$\pm$1.16 -,75.79$\pm$1.47 -,88.69$\pm$1.35 -,46.71$\pm$0.77 -,26.96$\pm$0.15 -
grid_guide(GP eval),BO,61.49$\pm$1.09 -,72.65$\pm$0.99 -,44.32$\pm$0.23 -,81.64$\pm$0.90 -,85.94$\pm$0.33 -,92.12$\pm$1.52 -,50.81$\pm$0.19 -,29.06$\pm$0.44 -
grid_guide(GP eval),CMA_ES,66.12$\pm$2.00 -,73.51$\pm$1.10 -,45.58$\pm$1.13 -,84.09$\pm$0.90 -,85.87$\pm$2.03 -,97.19$\pm$1.31 -,51.47$\pm$0.48 -,30.03$\pm$0.37 -
grid_guide(GP eval),PSO,56.65$\pm$1.15 -,66.53$\pm$1.48 -,41.09$\pm$0.73 -,78.00$\pm$3.13 -,79.91$\pm$2.74 -,90.90$\pm$2.04 -,47.96$\pm$0.62 -,26.98$\pm$0.11 -
sp(GP eval),SA,86.12$\pm$1.92 -,88.37$\pm$4.59 -,60.33$\pm$2.35 -,109.15$\pm$5.22 -,100.24$\pm$1.62 -,102.07$\pm$2.31 -,67.29$\pm$1.17 -,30.29$\pm$0.09 -
sp(GP eval),EA,82.03$\pm$1.82 -,82.14$\pm$4.01 -,56.52$\pm$2.81 -,100.47$\pm$4.81 -,96.41$\pm$1.99 -,98.26$\pm$2.60 -,65.61$\pm$1.45 -,29.60$\pm$0.52 -
dmp(GP eval),SA,37.51$\pm$0.73 -,42.93$\pm$0.05 -,28.86$\pm$0.28 -,40.54$\pm$0.13 -,54.26$\pm$0.49 -,69.13$\pm$0.27 -,37.10$\pm$0.28 -,22.17$\pm$0.18 -
dmp(GP eval),EA,\underline{36.91$\pm$0.88 +},\underline{42.38$\pm$0.31 +},\underline{28.15$\pm$0.24 +},\textbf{40.03$\pm$0.27 +},\underline{53.22$\pm$0.13 +},\underline{68.65$\pm$0.16 +},\underline{36.85$\pm$0.22 +},\underline{21.90$\pm$0.07 +}
dmp(GP eval),BO,\textbf{36.64$\pm$0.25 +},44.92$\pm$1.07 -,28.29$\pm$0.11 -,40.43$\pm$0.11 -,53.96$\pm$1.06 +,70.01$\pm$0.76 -,37.10$\pm$0.02 -,22.12$\pm$0.02 -
dmp(GP eval),CMA_ES,38.04$\pm$0.14 -,42.57$\pm$0.39 +,28.25$\pm$0.18 +,40.27$\pm$0.28 +,54.55$\pm$0.75 -,68.79$\pm$0.21 +,37.02$\pm$0.16 -,22.00$\pm$0.06 -
dmp(GP eval),PSO,37.02$\pm$0.66 +,\textbf{42.34$\pm$0.41 +},\textbf{28.05$\pm$0.09 +},\underline{40.21$\pm$0.08 +},\textbf{53.17$\pm$0.15 +},\textbf{68.54$\pm$0.21 +},\textbf{36.71$\pm$0.21 +},\textbf{21.87$\pm$0.05 +}
