placer,algorithm,superblue1,superblue3,superblue4,superblue5,superblue7,superblue10,superblue16,superblue18
mgo,SA,0.62$\pm$0.01,1.70$\pm$0.03,1.12$\pm$0.02,4.16$\pm$0.07,1.81$\pm$0.03,0.55$\pm$0.00,1.21$\pm$0.04,0.53$\pm$0.01
mgo,EA,0.59$\pm$0.00,1.55$\pm$0.01,0.95$\pm$0.01,3.84$\pm$0.03,1.72$\pm$0.02,0.54$\pm$0.00,0.95$\pm$0.01,0.49$\pm$0.00
mgo,BO,0.63$\pm$0.01 (n_seed=5),1.71$\pm$0.01 (n_seed=5),1.12$\pm$0.02 (n_seed=5),4.13$\pm$0.05 (n_seed=5),1.84$\pm$0.03 (n_seed=5),0.55$\pm$0.00 (n_seed=5),1.23$\pm$0.02 (n_seed=5),0.52$\pm$0.01 (n_seed=5)
mgo,ES,0.66$\pm$0.04 (n_seed=5),1.80$\pm$0.10 (n_seed=5),1.20$\pm$0.09 (n_seed=5),4.78$\pm$0.37 (n_seed=5),1.92$\pm$0.10 (n_seed=5),0.54$\pm$0.00 (n_seed=5),1.23$\pm$0.08 (n_seed=5),0.53$\pm$0.02 (n_seed=5)
mgo,PSO,0.58$\pm$0.00 (n_seed=5),1.52$\pm$0.00 (n_seed=5),0.94$\pm$0.01 (n_seed=5),3.76$\pm$0.00 (n_seed=5),1.69$\pm$0.02 (n_seed=5),0.54$\pm$0.00 (n_seed=5),0.96$\pm$0.01 (n_seed=5),0.48$\pm$0.00 (n_seed=5)
sp,SA,12.74$\pm$0.32,30.94$\pm$0.36,20.81$\pm$0.59,55.20$\pm$1.19,24.67$\pm$0.31,11.09$\pm$0.67,29.75$\pm$0.43,6.40$\pm$0.22
sp,EA,5.27$\pm$0.28,13.34$\pm$1.04,11.33$\pm$0.64,31.65$\pm$2.44,14.15$\pm$0.75,2.31$\pm$0.19,14.59$\pm$1.26,2.66$\pm$0.13
hpo,SA,2.29$\pm$0.12 (n_seed=5),4.86$\pm$0.17 (n_seed=5),2.38$\pm$0.08 (n_seed=5),10.45$\pm$0.23 (n_seed=5),3.44$\pm$0.09 (n_seed=5),1.88$\pm$0.03 (n_seed=5),3.76$\pm$0.24 (n_seed=5),1.56$\pm$0.15 (n_seed=5)
hpo,EA,2.07$\pm$0.14 (n_seed=5),4.29$\pm$0.19 (n_seed=5),2.35$\pm$0.10 (n_seed=5),9.98$\pm$0.13 (n_seed=5),3.19$\pm$0.03 (n_seed=5),1.59$\pm$0.05 (n_seed=5),3.40$\pm$0.12 (n_seed=5),1.43$\pm$0.09 (n_seed=5)
hpo,BO,2.60$\pm$0.07 (n_seed=5),5.93$\pm$0.29 (n_seed=5),2.66$\pm$0.13 (n_seed=5),11.77$\pm$0.24 (n_seed=5),3.93$\pm$0.09 (n_seed=5),2.74$\pm$0.34 (n_seed=5),4.51$\pm$0.49 (n_seed=5),2.01$\pm$0.10 (n_seed=5)
hpo,ES,2.22$\pm$0.09 (n_seed=5),4.83$\pm$0.24 (n_seed=5),2.32$\pm$0.11 (n_seed=5),10.37$\pm$0.38 (n_seed=5),3.34$\pm$0.07 (n_seed=5),1.69$\pm$0.10 (n_seed=5),3.90$\pm$0.31 (n_seed=5),1.54$\pm$0.15 (n_seed=5)
hpo,PSO,2.24$\pm$0.05 (n_seed=5),4.56$\pm$0.42 (n_seed=5),2.34$\pm$0.09 (n_seed=5),9.93$\pm$0.07 (n_seed=5),3.56$\pm$0.05 (n_seed=5),2.14$\pm$0.18 (n_seed=5),3.35$\pm$0.03 (n_seed=5),1.63$\pm$0.19 (n_seed=5)

mgo(GP eval),SA,62.22$\pm$1.35 (n_seed=10),71.89$\pm$1.27 (n_seed=10),44.78$\pm$0.56 (n_seed=10),81.65$\pm$1.44 (n_seed=10),84.74$\pm$1.02 (n_seed=10),93.67$\pm$0.97 (n_seed=10),50.44$\pm$0.60 (n_seed=10),28.81$\pm$0.44 (n_seed=10)
mgo(GP eval),EA,55.80$\pm$2.23 (n_seed=10),62.89$\pm$1.35 (n_seed=10),40.59$\pm$0.86 (n_seed=10),74.90$\pm$5.85 (n_seed=9),76.10$\pm$1.23 (n_seed=9),88.37$\pm$1.66 (n_seed=10),46.90$\pm$0.82 (n_seed=10),26.87$\pm$0.17 (n_seed=10)
mgo(GP eval),BO,61.72$\pm$1.36 (n_seed=10),72.23$\pm$0.92 (n_seed=10),44.61$\pm$0.40 (n_seed=10),81.31$\pm$0.88 (n_seed=10),85.47$\pm$0.61 (n_seed=10),92.44$\pm$1.42 (n_seed=10),50.70$\pm$0.43 (n_seed=10),28.85$\pm$0.41 (n_seed=10)
mgo(GP eval),ES,65.98$\pm$2.21 (n_seed=10),74.99$\pm$2.23 (n_seed=10),46.44$\pm$1.33 (n_seed=10),84.73$\pm$1.61 (n_seed=10),86.80$\pm$1.77 (n_seed=10),98.02$\pm$1.51 (n_seed=10),51.85$\pm$0.64 (n_seed=10),29.80$\pm$0.52 (n_seed=10)
mgo(GP eval),PSO,57.35$\pm$3.33 (n_seed=10),66.83$\pm$1.76 (n_seed=10),41.71$\pm$1.26 (n_seed=10),78.54$\pm$2.52 (n_seed=10),79.69$\pm$2.27 (n_seed=10),89.47$\pm$2.53 (n_seed=10),47.91$\pm$0.88 (n_seed=10),27.52$\pm$1.30 (n_seed=10)
sp(GP eval),SA,83.45$\pm$3.68 (n_seed=9),86.94$\pm$4.36 (n_seed=8),60.15$\pm$2.08 (n_seed=7),109.15$\pm$5.22,99.99$\pm$1.32 (n_seed=8),102.07$\pm$2.31,67.16$\pm$1.50 (n_seed=10),30.04$\pm$0.47 (n_seed=15)
